Fiscal Year 2010,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Tanzania,56,308,2,47,"3,864",12,0,0,193,34,0,39,177,0,0,0,0,0,0,479,21,0,67,141,1,144,3,0,69,0,0,0,0,1,20,3,175,10,21,1,6,1,8,4,14,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,3,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"5,959",0,"5,959"
Togo,27,65,4,6,813,11,0,0,2,0,2,0,1,0,0,0,0,0,0,75,0,0,17,71,0,47,1,0,15,0,0,0,0,0,1,6,37,6,24,5,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,253",0,"1,253"
Tunisia,26,266,0,30,"3,650",8,0,0,10,115,0,2,7,0,0,3,0,0,0,232,4,0,8,44,0,71,1,0,28,0,0,0,0,0,19,4,214,21,13,0,14,2,7,13,6,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,834",0,"4,834"
Uganda,29,158,2,21,"2,788",129,0,0,22,0,1,1,10,0,0,0,0,0,0,432,19,0,31,154,1,245,5,0,32,0,0,0,0,0,14,3,198,33,40,1,4,2,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,1,0,0,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,644",0,"4,644"
Zambia,28,123,1,7,"1,634",141,0,0,18,17,0,13,0,0,0,1,0,0,0,151,15,0,21,106,0,162,1,0,22,0,0,0,0,0,9,9,84,18,7,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,629",0,"2,629"
Zimbabwe,53,33,1,6,"3,102",52,0,0,75,0,0,1,124,0,0,0,0,0,0,386,10,0,64,94,0,179,5,0,92,0,0,0,2,0,38,8,166,13,7,1,0,0,11,13,2,0,0,0,0,0,0,0,0,0,0,0,6,0,3,4,0,1,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"4,568",0,"4,568"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Africa,"2,024","10,592",187,"4,163","217,055","9,814",0,0,886,"4,482",20,451,921,0,3,67,0,3,0,"16,932","1,985",0,"1,309","4,390",9,"4,748",102,0,"2,381",0,2,"1,134","1,154",64,"1,078",527,"8,692","1,040","2,604",240,493,75,857,"1,006",414,0,0,0,1,0,0,0,0,0,3,0,142,72,32,369,1,684,20,148,0,0,343,75,0,0,0,0,29,0,0,6,0,0,2,3,17,0,0,0,0,0,"303,851",0,"303,851"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,86,450,0,4,"1,069",16,0,0,1,0,0,4,0,0,0,0,0,0,0,183,0,0,36,40,0,65,0,0,0,0,0,1,0,0,0,3,362,16,242,7,28,4,5,9,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"2,638",0,"2,638"
Bahrain,24,394,1,15,"2,166",148,0,0,0,10,0,1,2,0,0,0,0,0,0,185,14,0,6,42,0,4,0,0,8,0,0,0,0,0,5,7,109,7,0,0,1,0,1,0,44,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,196",0,"3,196"
Bangladesh,43,566,8,57,"7,363",22,0,0,21,584,0,0,0,0,0,1,0,1,0,798,149,0,64,206,0,320,4,0,158,0,0,0,0,0,105,24,284,81,19,1,21,0,28,34,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,107,0,0,0,0,13,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,"11,106",0,"11,106"
Bhutan,4,101,0,0,168,1,0,0,7,2,0,34,0,0,0,0,0,0,0,42,8,0,10,38,0,38,1,0,1,0,0,0,0,0,0,0,30,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511,0,511
Brunei,14,94,0,0,37,6,0,0,0,19,0,20,0,0,0,0,0,0,0,13,1,0,2,27,0,0,1,0,1,0,0,0,0,0,0,9,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,266
