Fiscal Year 2010,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Totals for Oceania,204,"4,863",4,310,"14,618",362,0,0,717,"3,393",0,873,6,0,24,318,"2,175","1,343",782,"2,223",108,0,57,197,0,476,4,0,756,0,0,166,303,16,392,487,"6,819",371,367,17,30,0,"1,484","1,430",187,29,0,0,3,0,0,0,0,0,0,0,550,124,90,762,19,38,59,3,0,0,183,25,0,0,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,"47,774",0,"47,774"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,66,"1,066",2,191,"136,283",183,0,0,131,683,0,929,0,0,42,107,0,1,0,"1,103",79,0,53,176,0,498,11,0,727,0,0,5,133,14,376,178,"3,369",188,82,3,15,5,456,562,13,0,0,0,0,0,0,0,0,0,0,0,176,75,66,351,0,113,92,9,0,0,30,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"148,656",0,"148,656"
Bolivia,42,214,1,193,"13,469",106,0,0,389,68,0,91,0,0,0,6,0,0,0,382,12,0,25,89,0,231,13,0,110,0,0,8,5,13,53,12,337,14,46,4,3,2,21,39,8,0,0,0,0,0,0,0,0,0,2,0,10,0,2,7,0,15,0,0,0,0,10,7,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,"16,066",0,"16,066"
Brazil,188,"4,038",33,"2,052","241,308","262,357",0,0,"2,783","2,696",1,"5,038",171,0,8,21,0,1,0,"10,532",395,0,96,262,0,"1,078",49,0,"1,613",0,1,10,119,47,789,836,"12,403",858,508,77,43,5,"1,616","1,886",190,7,0,0,0,0,0,0,0,0,0,0,609,143,93,757,0,58,59,42,0,0,103,69,0,0,0,0,4,0,0,0,0,0,3,2,4,0,0,0,0,0,"556,061",0,"556,061"
Chile,68,"1,612",4,375,"40,630",373,0,0,85,"1,101",1,549,0,0,6,22,0,2,0,"1,263",283,0,40,149,0,226,9,0,255,251,0,36,132,3,392,128,"2,395",344,87,7,12,2,142,205,14,0,0,0,0,0,0,0,0,0,0,0,29,16,17,54,0,12,11,0,0,0,15,5,0,0,0,0,5,0,0,3,0,0,1,0,0,0,0,0,0,0,"51,371",0,"51,371"
Colombia,77,"3,706",13,"2,268","139,403",480,0,0,"1,126","1,416",0,79,0,0,22,64,0,1,0,"4,075",202,0,47,77,0,642,47,0,"1,114",0,0,0,0,21,535,167,"4,141",309,"1,314",469,111,51,341,461,90,0,0,0,0,0,0,0,0,0,1,0,100,52,47,555,0,19,22,0,0,0,78,19,0,0,0,0,11,0,0,1,0,0,0,0,3,0,0,0,0,0,"163,777",0,"163,777"
Ecuador,147,655,3,307,"53,157",73,0,0,283,379,0,152,3,0,1,14,0,0,0,"1,004",44,0,40,81,0,151,23,0,231,0,0,5,6,1,98,67,"1,931",80,130,34,25,15,74,111,20,0,0,0,0,0,0,0,0,0,0,0,9,1,2,21,0,16,1,0,0,0,15,0,0,0,0,0,2,0,0,0,0,0,2,0,47,2,2,0,0,0,"59,465",0,"59,465"
Guyana,10,44,0,28,"4,362",164,0,0,206,449,0,14,0,0,0,0,0,0,0,70,2,0,0,3,0,57,1,0,36,0,0,0,0,0,23,3,15,1,63,18,13,11,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,"5,610",0,"5,610"
Paraguay,25,212,8,138,"4,934",166,0,0,132,20,0,136,0,0,1,2,0,0,0,215,8,0,34,86,0,82,19,0,36,0,0,0,0,0,21,2,351,12,19,6,2,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"6,705",0,"6,705"
Peru,92,929,16,"1,841","38,173","10,426",0,0,"2,299","2,486",0,156,0,0,1,4,0,0,0,"1,062",53,0,41,41,0,528,73,0,539,0,0,830,16,2,239,101,"3,669",70,506,100,49,12,115,130,34,0,0,0,0,0,0,0,0,0,0,0,26,0,9,93,0,133,1,0,0,0,47,1,0,0,0,0,1,0,1,5,0,0,3,0,21,2,0,0,0,0,"64,976",0,"64,976"
Suriname,9,105,0,6,"2,528",-6,0,0,7,14,0,76,0,0,0,0,0,0,0,25,0,0,7,30,0,14,0,0,5,0,0,0,0,0,1,1,18,0,4,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,852",0,"2,852"
Uruguay,47,518,3,329,"11,288","2,655",0,0,22,166,1,77,0,0,0,2,0,0,0,153,11,0,32,93,1,153,6,0,68,0,0,37,1,1,38,7,227,22,13,5,1,0,41,45,4,0,0,0,0,0,0,0,0,0,0,0,14,0,2,10,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"16,098",0,"16,098"
Venezuela,133,181,3,"2,543","150,946",314,0,0,13,642,0,7,0,0,1,103,0,2,0,"3,966",244,0,59,210,0,181,3,0,911,0,0,0,0,6,811,142,548,71,133,26,19,7,792,"1,437",54,13,0,0,0,0,0,0,0,0,0,0,94,26,59,927,2,30,198,1,0,0,15,3,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,"165,882",0,"165,882"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for South America,904,"13,280",86,"10,271","836,481","277,291",0,0,"7,476","10,120",3,"7,304",174,0,82,345,0,7,0,"23,850","1,333",0,474,"1,297",1,"3,841",254,0,"5,645",251,1,931,412,108,"3,376","1,644","29,404","1,969","2,905",750,293,110,"3,614","4,887",436,20,0,0,1,0,0,0,0,0,4,0,"1,072",313,299,"2,782",2,396,385,52,0,0,324,117,0,0,0,0,30,0,1,9,0,0,11,2,83,4,2,0,0,0,"1,257,519",0,"1,257,519"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Nationality,0,1,1,13,"2,265",20,0,0,7,22,0,0,0,0,0,0,0,0,0,95,7,0,0,0,0,2,0,0,20,0,1,0,0,0,13,3,60,12,30,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,656",0,"2,656"
United Nations Laissez-Passer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,181
Totals for Unknown,0,1,1,13,"2,265",20,0,0,7,22,0,0,0,0,0,0,0,0,0,95,7,0,0,0,0,183,0,0,20,0,1,0,0,0,13,3,60,12,30,0,4,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,837",0,"2,837"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Totals,"11,025","94,866",916,"44,197","3,278,782","358,087","563,494","408,392","19,452","205,182",30,"13,867","13,328",0,"6,279","25,500","2,175","1,582",782,"385,210","25,220",887,"5,053","13,341",330,"25,547",747,0,"117,409",419,86,"55,921","47,403","1,778","66,176","13,450","320,805","32,797","30,999","4,532","3,882",893,"74,719","69,233","9,192",243,1,22,"6,194",6,243,92,531,2,12,0,"8,589","4,435","1,929","25,186",127,"7,183","1,032","1,589",0,0,"3,390","1,107",0,0,0,"3,392","2,572",0,64,167,7,8,84,41,510,15,13,0,0,0,"6,422,751",0,"6,422,751"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
