Fiscal Year 2015,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Totals for Europe,"2,486","18,278",75,"8,745","551,986","4,115",0,0,833,"92,636",0,278,15,4,264,"2,504","17,731",10,0,218,0,"66,680","2,131",0,"1,295","3,973",335,"6,511",67,"12,826",0,0,470,"3,034",363,"5,051","6,869","163,178","7,821","5,956",552,23,6,"23,443","20,193","3,008",136,0,25,"4,732",1,244,28,480,0,4,2,"8,205","2,986","2,054","11,227",71,"2,466",363,"1,056",861,246,0,0,0,0,205,0,0,0,0,0,0,9,0,4,0,0,"1,069,368",0,"1,069,368"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,4,22,0,2,"1,597",432,0,0,6,16,0,18,0,0,3,0,0,0,0,0,0,67,1,0,3,4,0,6,0,4,0,0,0,2,0,1,1,14,0,4,0,0,0,4,4,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"2,234",0,"2,234"
"Bahamas, The",37,136,3,0,"13,912",2,0,0,9,147,0,60,0,0,0,1,1,0,0,0,0,946,23,0,8,4,0,13,0,104,0,0,0,0,0,21,0,45,5,15,3,0,0,28,8,39,2,0,0,0,0,0,0,0,0,0,0,7,0,0,21,0,1,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,607",0,"15,607"
Barbados,9,59,0,2,"7,168","1,717",0,0,26,47,0,26,0,0,0,0,0,0,0,2,0,161,2,0,1,9,0,20,0,36,0,0,0,0,0,4,2,45,3,10,0,0,0,10,3,10,0,0,0,0,0,0,0,0,0,0,0,6,6,0,20,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,408",0,"9,408"
Belize,4,81,0,3,"4,017",0,0,0,99,47,0,61,0,0,0,0,0,0,0,0,0,119,7,0,6,5,0,10,1,9,0,0,20,172,0,5,2,42,2,12,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"4,745",0,"4,745"
Canada,204,97,2,87,345,10,0,0,1,16,0,0,1,0,1,450,"2,615",0,0,40,0,296,23,0,31,32,0,552,1,71,0,0,1,1,0,136,31,160,66,818,44,3,0,131,241,11,4,0,0,696,0,4,2,16,0,0,0,22,10,16,37,1,13,3,2,19,7,0,0,0,97,26,0,0,0,0,0,0,1,1,0,0,0,"7,495",0,"7,495"
Costa Rica,24,227,0,20,"58,139",8,0,0,87,208,0,68,0,0,0,11,14,0,0,0,0,505,21,0,10,14,0,126,0,97,0,0,89,166,1,55,26,489,60,114,34,3,0,311,234,16,0,0,0,0,0,0,0,0,0,0,0,21,3,11,8,0,0,2,0,16,2,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,"61,248",0,"61,248"
Cuba,124,146,1,"1,946","2,126","17,089",0,0,12,19,0,0,0,0,44,0,1,0,0,0,0,24,1,0,103,307,0,50,0,4,0,0,0,0,0,3,64,65,6,180,27,2,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,14,11,1,258,1,152,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"22,797",0,"22,797"
Dominica,1,23,0,2,927,158,0,0,11,23,0,1,0,0,0,0,0,0,0,0,0,87,0,0,2,0,0,4,1,10,0,0,0,0,0,2,0,8,0,1,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,275",0,"1,275"
Dominican Republic,26,355,7,291,"85,140",21,0,0,169,365,0,46,0,0,31,0,7,0,0,0,0,939,26,0,10,15,0,75,12,125,0,0,89,143,2,56,226,"1,623",26,"1,222",370,4,3,73,83,22,0,0,0,2,0,0,0,0,0,0,0,27,2,5,"1,247",1,6,81,0,37,10,0,0,0,0,4,0,0,0,0,0,0,1,1,45,0,0,"93,071",0,"93,071"
