Fiscal Year 2015,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,CW-1,CW-2,D,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,T-6,U-1,U-2,U-3,U-4,U-5,Total Visas,BCC,Grand Total
Israel,274,"3,394",0,129,"137,439","7,340",0,0,7,637,0,2,0,0,1,377,44,0,0,7,0,"1,101",112,0,40,30,0,40,0,532,0,0,0,9,34,433,66,"3,120","1,517",39,3,0,0,945,"1,562",37,2,0,0,0,0,0,0,0,0,0,0,257,53,157,293,1,59,1,0,54,96,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,"160,249",0,"160,249"
Japan,260,"8,613",0,6,"3,655",7,0,0,6,"3,885",0,394,124,21,2,"1,724","12,172",19,0,22,0,"17,203",726,0,57,83,0,255,1,"1,146",0,0,1,267,118,593,"1,183","7,218","2,693",412,32,3,0,"4,584","5,759",593,5,0,0,1,0,0,0,1,0,0,0,467,60,154,614,0,183,27,193,81,46,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,"75,700",0,"75,700"
Jordan,31,"1,764",12,44,"37,453",62,0,0,3,167,0,63,0,0,14,11,35,0,0,0,0,"1,649",197,0,18,59,0,144,0,213,0,0,0,0,4,170,24,936,154,63,1,4,0,65,73,15,0,0,0,0,0,0,0,0,0,0,0,8,1,3,0,0,0,0,0,4,8,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"43,475",0,"43,475"
"Korea, North",0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,89
"Korea, South",257,"2,829",1,96,"8,004",8,0,0,10,"3,308",0,73,295,140,1,185,"2,137",75,0,9,0,"27,324","3,241",0,60,67,0,194,0,"2,526",0,0,0,11,79,"1,329",200,"9,346","4,644",297,9,0,0,"2,034","2,546",516,57,0,0,1,0,0,0,0,0,0,0,303,39,130,488,0,86,7,0,225,185,0,0,0,0,26,0,0,3,0,0,0,1,0,0,0,0,"73,402",0,"73,402"
Kuwait,49,448,0,4,"26,866",9,0,0,1,13,0,0,0,0,53,0,0,0,0,0,0,"3,489",475,0,12,38,0,18,0,8,0,0,0,0,6,0,2,101,30,1,0,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"31,634",0,"31,634"
Laos,40,145,0,3,"1,400",0,0,0,0,1,0,13,0,0,0,0,0,0,0,0,0,106,0,0,28,82,0,31,0,1,0,0,0,0,0,0,0,64,1,335,20,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,305",0,"2,305"
Lebanon,2,483,16,63,"23,271",56,0,0,21,202,0,0,0,0,25,0,4,0,0,0,0,567,16,0,7,41,0,78,0,184,0,0,0,0,0,46,50,598,47,113,4,2,0,53,47,17,1,0,0,0,0,0,0,0,0,0,0,16,0,3,6,0,103,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"26,150",0,"26,150"
Macau S.A.R.,0,0,0,1,"3,083",0,0,0,2,5,0,0,0,0,0,0,0,0,0,1,0,284,5,0,0,0,0,1,0,14,0,0,0,0,0,1,4,46,1,0,0,0,0,3,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,464",0,"3,464"
Malaysia,92,852,6,808,"34,821",67,0,0,35,"1,280",0,9,1,0,2,0,5,0,0,5,0,"2,558",77,0,31,74,0,73,1,354,0,0,0,0,105,100,83,"1,051",131,64,3,1,1,607,367,38,1,0,0,0,0,0,0,0,0,0,0,22,12,1,11,0,12,0,0,20,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"43,783",0,"43,783"
Maldives,2,58,0,1,115,5,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,8,0,0,7,34,0,3,0,3,0,0,0,0,0,0,3,25,3,1,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,0,325
Mongolia,43,200,4,4,"7,883",11,0,0,41,0,0,5,1,0,10,0,15,0,0,0,0,"1,118",382,0,22,103,0,44,0,19,0,0,0,0,0,16,60,606,36,20,8,0,0,6,13,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,66,0,33,5,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"10,803",0,"10,803"
Nepal,42,213,10,61,"14,872",11,0,0,62,175,0,47,12,7,0,0,0,0,0,1,0,"4,309",336,0,18,88,0,278,8,554,0,0,3,0,0,261,11,278,88,81,4,3,0,38,39,20,0,0,0,0,0,0,0,0,0,0,0,5,1,0,3,0,29,0,0,9,3,0,0,0,0,0,0,1,4,1,0,0,0,1,5,0,0,"21,992",0,"21,992"
Oman,50,578,6,8,"2,306","1,853",0,0,0,123,0,0,0,0,3,0,0,0,0,0,0,831,135,0,26,22,0,2,0,7,0,0,0,0,5,6,3,51,8,2,0,0,0,13,26,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,122",0,"6,122"
Pakistan,145,"1,650",21,99,"62,714",218,0,0,24,706,0,6,0,0,6,13,140,0,0,4,0,"2,157",208,0,77,131,0,465,10,609,0,0,0,0,4,666,81,"2,287",425,466,6,8,0,207,279,21,1,0,0,0,0,0,0,0,0,0,0,17,7,18,30,0,116,3,0,8,30,0,0,0,0,58,0,0,0,0,0,0,1,3,4,1,0,"74,150",0,"74,150"
Palestinian Authority Travel Document,0,0,1,108,"6,478",30,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,314,37,0,0,1,0,17,0,17,0,0,0,0,0,10,9,260,33,37,3,2,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"7,381",0,"7,381"
Philippines,90,"1,900",294,"9,069","83,139",510,0,0,"1,261","75,718",0,116,"2,055",347,27,9,86,2,0,2,0,884,69,0,168,102,0,398,135,"1,432",0,0,16,"1,697",22,"1,108",79,"7,083",148,"6,658","1,327",11,2,947,823,41,0,0,0,0,0,0,0,0,0,0,0,50,116,8,42,0,19,1,0,241,61,0,0,0,0,13,0,57,182,0,0,0,1,0,5,0,0,"198,571",0,"198,571"
Qatar,89,670,0,9,"7,560",1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,871,47,0,17,29,0,4,0,0,0,0,0,0,0,1,1,37,5,1,0,0,0,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,366",0,"9,366"
Saudi Arabia,632,"6,480",81,111,"85,303",42,0,0,23,0,0,1,0,0,727,0,0,0,0,0,0,"28,171","8,702",0,58,125,0,46,0,64,0,0,0,0,56,109,46,950,747,7,0,0,0,152,372,199,20,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"133,235",0,"133,235"
Singapore,24,"3,620",0,64,514,6,0,0,0,"1,915",0,32,1,0,0,1,49,0,0,10,0,"2,256",88,0,22,112,0,35,0,333,551,0,0,0,46,287,33,"1,019",86,28,2,1,0,355,333,100,0,0,0,0,0,0,0,0,0,1,0,17,1,3,3,0,1,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,"11,958",0,"11,958"
Sri Lanka,15,163,22,104,"10,055",41,0,0,102,"1,530",0,0,3,1,2,0,17,0,0,2,0,877,117,0,43,69,1,112,11,219,0,0,0,0,0,119,3,176,63,20,1,1,0,139,145,79,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,0,35,0,0,28,4,0,0,0,0,3,0,0,1,0,0,0,0,2,5,0,0,"14,337",0,"14,337"
Syria,1,7,11,83,"8,419",407,0,0,5,69,0,0,0,0,1,0,1,0,0,0,0,333,44,0,62,11,0,56,4,33,0,0,0,0,0,46,12,122,43,186,7,0,0,25,38,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,14,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"10,061",0,"10,061"
Thailand,36,"1,091",7,402,"44,795",27,0,0,79,"3,328",0,24,15,3,7,24,506,0,0,5,0,"4,534",37,0,9,269,2,59,6,239,0,0,17,25,2,60,125,"6,915",100,616,84,1,0,143,96,47,0,0,0,0,0,0,0,1,0,0,0,33,0,4,14,0,20,1,5,97,0,0,0,0,0,8,0,11,21,0,0,0,0,1,1,0,0,"63,952",0,"63,952"
Timor-Leste,1,28,0,0,61,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,2,39,0,1,0,0,0,0,0,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,165
United Arab Emirates,98,"1,335",2,5,"17,175",10,0,0,0,0,0,1,0,0,124,0,0,0,0,0,0,"1,350",104,0,3,47,0,1,0,1,0,0,0,0,1,0,2,75,17,0,0,0,0,6,10,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20,403",0,"20,403"
Vietnam,251,828,1,84,"80,936",583,0,0,175,"1,017",0,47,0,0,2,0,8,0,0,2,0,"17,674",174,0,71,216,0,282,4,457,0,0,0,0,18,134,145,"1,367",184,"1,501",196,1,0,184,170,201,0,0,0,0,0,0,0,0,0,0,0,20,7,8,3,0,73,3,0,164,3,0,0,0,0,2,0,3,6,0,0,0,0,0,0,0,0,"107,205",0,"107,205"
Yemen,23,144,13,60,"3,007",15,0,0,0,24,0,0,1,0,0,0,1,0,0,0,0,747,188,0,40,53,0,76,0,0,0,0,0,0,2,2,3,53,20,12,0,6,3,5,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,525",0,"4,525"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Asia,"3,850","47,373",646,"15,768","3,664,798","17,749",0,0,"6,079","159,396",2,"2,291","3,086",630,"4,603","3,107","15,770",117,0,282,0,"492,805","24,522",0,"1,649","4,026",45,"5,728",241,"149,788",551,0,37,"2,012",972,"112,675","3,962","100,394","29,164","14,350","1,967",70,7,"40,266","48,158","5,369",141,0,0,3,0,0,0,2,0,2,2,"2,246",943,872,"3,121",1,"3,779",97,439,"2,042","1,008",0,0,0,0,404,0,97,265,3,1,0,10,28,71,3,1,"4,999,886",0,"4,999,886"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,11,130,0,15,"6,836",8,0,0,15,46,0,0,0,0,20,0,6,0,0,0,0,509,11,0,1,29,0,36,0,56,0,0,0,0,0,7,33,253,13,113,9,1,0,15,14,1,0,0,0,7,0,0,0,0,0,0,0,6,1,0,10,0,45,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"8,260",0,"8,260"
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,4,0,1,0,1,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,27
Armenia,36,173,0,11,"6,842",8,0,0,10,0,0,2,0,0,4,0,7,0,0,0,0,148,25,0,15,43,0,132,3,53,0,0,0,0,0,28,19,240,17,161,7,0,0,18,20,4,0,0,0,0,0,0,0,0,0,0,0,19,27,5,26,1,180,0,0,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"8,292",0,"8,292"
Austria,40,259,2,176,"1,241",2,0,0,1,801,0,0,0,0,0,5,178,0,0,0,0,736,8,0,16,23,6,94,1,138,0,0,0,16,4,26,197,"2,164",77,46,0,0,0,423,223,68,0,0,0,0,0,0,0,0,0,0,0,115,23,16,192,0,13,7,6,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"7,356",0,"7,356"
Azerbaijan,36,327,0,23,"5,507",3,0,0,289,180,0,8,0,0,66,0,12,0,0,0,0,337,21,0,37,87,0,77,0,38,0,0,0,0,1,12,22,276,48,15,0,0,0,26,21,3,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"7,507",0,"7,507"
Belarus,16,34,0,28,"11,841",10,0,0,3,640,0,0,0,0,16,0,2,0,0,0,0,260,14,0,35,99,0,87,1,89,0,0,0,0,0,78,17,623,28,102,19,1,0,165,167,1,0,0,0,0,0,0,0,0,0,1,0,25,0,5,70,0,9,13,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"14,505",0,"14,505"
Belgium,20,195,1,34,"1,168",1,0,0,0,546,0,4,0,0,0,19,246,0,0,2,0,988,19,0,12,69,20,158,0,162,0,0,0,1,3,62,171,"1,361",168,52,1,0,0,423,350,98,0,0,1,254,0,19,0,1,0,0,0,129,107,28,116,1,4,4,1,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"7,024",0,"7,024"
Bosnia and Herzegovina,14,125,0,16,"3,973",1,0,0,7,858,0,0,0,0,4,2,6,0,0,0,0,170,0,0,8,35,0,45,0,29,0,0,0,0,1,14,10,519,15,173,5,0,0,14,13,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,40,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,121",0,"6,121"
Bulgaria,25,75,1,96,"10,920",14,0,0,5,"1,726",0,0,1,0,1,0,100,0,0,0,0,301,15,0,12,30,2,64,2,204,0,0,3,201,1,39,23,"6,358",33,121,12,0,0,86,57,12,1,0,0,158,0,0,0,0,0,0,0,44,8,9,68,0,16,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"20,854",0,"20,854"
Croatia,31,128,1,142,"10,673",441,0,0,36,"3,240",0,3,1,0,0,1,20,0,0,0,0,281,3,0,10,50,7,58,0,58,0,0,0,17,0,12,30,780,35,43,2,0,0,82,46,7,0,0,0,13,0,0,0,0,0,1,0,36,5,8,33,0,28,4,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"16,373",0,"16,373"
Cyprus,19,25,0,30,"3,899",4,0,0,1,94,0,0,0,0,1,0,0,0,0,0,0,183,7,0,3,19,2,8,0,37,0,0,0,0,0,3,3,88,9,4,1,0,0,11,7,2,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,481",0,"4,481"
Czech Republic,41,342,0,272,"1,334",63,0,0,0,324,0,8,2,4,0,1,74,0,0,0,0,544,7,0,9,95,2,23,1,86,0,0,0,26,0,19,51,"3,414",87,34,0,0,0,271,188,2,0,0,0,31,0,11,0,0,0,1,0,49,4,9,292,0,0,5,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"7,732",0,"7,732"
Denmark,31,319,2,97,"1,332",0,0,0,2,573,0,2,0,0,1,8,199,0,0,3,0,"1,560",14,0,34,111,11,112,1,81,0,0,4,2,6,40,158,"2,480",250,37,2,1,0,384,414,47,0,0,2,145,0,5,1,3,0,0,0,198,42,68,178,0,12,8,2,13,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"8,999",0,"8,999"
Estonia,16,71,0,30,303,2,0,0,1,173,0,0,0,0,0,0,12,0,0,2,0,60,4,0,8,29,0,8,1,16,0,0,0,4,0,7,5,467,19,16,0,0,0,34,44,3,0,0,0,95,0,0,0,0,0,0,0,13,0,2,59,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"1,514",0,"1,514"
Finland,23,394,0,281,480,11,0,0,0,517,0,0,0,0,0,10,98,0,0,5,0,488,32,0,18,84,4,91,1,82,0,0,0,2,1,52,100,"1,218",192,35,0,0,0,337,421,28,4,0,0,0,0,0,0,0,0,0,0,82,11,38,144,2,8,9,15,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,"5,327",0,"5,327"
