Fiscal Year 2007,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Uruguay,28,504,2,272,"10,469",838,0,0,308,196,0,815,0,0,0,4,0,0,0,127,16,0,24,24,0,161,10,0,110,0,0,37,47,0,0,90,36,253,34,12,1,7,1,47,48,3,0,0,0,0,0,0,0,0,0,0,0,17,1,6,20,0,1,2,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"14,587",0,"14,587"
Venezuela,106,377,2,"1,119","89,064","1,281",0,0,183,677,0,26,6,0,4,63,0,0,0,"2,244",154,0,66,364,0,144,5,0,"1,282",0,0,0,418,2,20,"1,080",130,793,131,123,31,46,9,883,"1,412",20,1,0,0,0,0,0,0,0,0,0,0,106,25,61,427,0,5,146,1,0,0,68,21,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,"103,133",0,"103,133"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for South America,974,"10,944",151,"8,069","571,127","235,347",0,0,"29,102","8,317",3,"7,271","2,130",0,181,744,0,8,0,"18,119","1,146",2,518,"1,364",2,"3,257",348,0,"7,716",223,0,"1,058","2,577",242,191,"4,918","1,486","44,291","2,136","3,209",834,781,270,"4,477","6,012",191,7,0,0,2,0,0,0,0,0,2,0,728,194,328,"2,755",4,525,412,110,0,0,997,365,0,0,0,0,56,0,7,14,0,0,0,0,0,0,3,2,1,"986,248",0,"986,248"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Nationality,0,0,0,57,"2,046",315,0,0,8,52,0,0,0,0,0,0,0,0,0,53,2,0,0,0,0,1,0,0,9,0,0,0,2,0,0,8,2,41,3,32,3,10,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,14,0,0,0,0,144,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"2,821",0,"2,821"
United Nations Laissez-Passer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,184
Totals for Unknown,0,0,0,57,"2,046",315,0,0,8,52,0,0,0,0,0,0,0,0,0,53,2,0,0,0,0,185,0,0,9,0,0,0,2,0,0,8,2,41,3,32,3,10,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,14,0,0,0,0,144,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"3,005",0,"3,005"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Totals,"10,216","82,341","1,000","61,461","3,318,802","356,224","470,321","307,359","47,714","241,947",32,"13,392","20,162",0,"7,413","29,298","2,572","1,368",6,"298,393","22,036",119,"5,270","12,319",278,"21,768","1,058",0,"154,053",639,26,"50,791","60,227","69,320","3,096","86,219","15,885","343,946","32,236","33,190","5,455","9,816","2,474","84,532","70,340","9,221",219,0,5,"6,406",7,287,67,164,2,7,0,"7,653","4,218","2,238","24,737",168,"9,732","1,059","1,661",1,0,"10,372","3,216",0,0,0,"4,091","3,438",0,20,70,5,3,0,0,0,0,30,23,51,"6,444,285",0,"6,444,285"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
