Fiscal Year 2006,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total
Brazil,166,"2,837",40,"2,145","48,113","157,924",0,"29,040",323,0,"2,879","2,216",0,8,51,0,2,0,"5,926",346,0,84,261,0,853,50,0,"2,039",0,0,24,"1,474",117,49,"1,159",484,"17,247",814,531,112,106,32,"1,749","2,088",89,2,0,0,2,0,0,0,0,0,0,0,237,76,61,"1,216",0,167,47,83,0,0,297,183,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,"283,762",0,"283,762"
Chile,80,"1,462",12,320,"34,396",404,0,260,"1,135",0,339,3,0,6,29,0,0,0,992,154,0,80,125,0,232,19,0,262,154,0,64,292,16,19,356,181,"2,551",261,44,6,9,0,197,289,12,2,0,0,0,0,0,0,0,0,0,0,19,2,6,46,1,10,8,1,0,0,54,34,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,"44,948",0,"44,948"
Colombia,137,"2,376",30,"1,197","164,164",374,0,878,"1,033",0,43,0,0,64,244,0,0,0,"2,933",215,0,22,50,0,399,55,0,"1,717",0,0,2,116,0,16,954,163,"4,837",276,"1,151",417,325,142,466,673,55,0,0,0,0,0,0,0,0,0,6,0,68,3,42,657,0,26,34,1,0,0,281,85,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,"186,738",0,"186,738"
Ecuador,98,585,4,511,"46,971",229,0,623,245,0,236,15,0,2,15,0,0,0,"1,144",69,0,23,43,0,112,13,0,329,0,0,10,56,1,3,191,93,"2,113",78,170,53,104,49,131,199,5,0,0,0,0,0,0,0,0,0,0,0,15,1,5,28,0,105,3,0,0,0,39,11,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,1,0,"54,738",0,"54,738"
Guyana,8,68,0,14,"3,845",106,0,132,182,0,32,15,0,0,0,0,0,0,80,5,0,3,1,0,47,2,0,76,0,0,0,3,0,0,63,5,23,2,58,7,24,5,5,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,7,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"4,840",0,"4,840"
Paraguay,42,274,8,71,"3,198",46,0,315,8,0,140,0,0,4,6,0,0,0,162,13,0,12,54,0,65,9,0,47,0,0,0,8,0,0,26,12,200,15,20,0,2,1,7,18,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,12,0,3,1,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,824",0,"4,824"
Peru,84,717,44,"1,236","26,628","9,430",0,"4,098","1,959",0,97,0,0,0,5,0,0,0,"1,089",89,0,52,24,0,311,102,0,737,0,0,841,288,1,8,441,130,"5,009",67,501,78,173,67,168,263,15,0,0,0,0,0,0,0,0,0,0,0,33,19,20,74,2,82,30,1,0,0,96,34,0,0,0,0,2,0,2,8,2,0,0,0,0,0,0,0,0,"55,157",0,"55,157"
Suriname,18,81,0,28,"1,395",182,0,45,5,0,66,0,0,5,0,0,0,0,38,3,0,2,7,0,5,0,0,7,0,0,0,0,0,0,0,0,9,0,1,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,914",0,"1,914"
Uruguay,26,513,9,433,"10,322",876,0,217,214,0,226,0,0,1,4,0,0,0,149,13,0,37,19,0,137,11,0,134,0,0,18,34,0,1,99,40,289,30,11,1,0,0,52,64,2,0,0,0,0,0,0,0,0,0,2,0,16,2,4,17,0,2,6,0,0,0,15,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"14,054",0,"14,054"
Venezuela,58,485,5,"1,372","96,361",883,0,86,519,0,10,2,0,3,43,0,0,0,"1,928",142,0,48,302,0,173,4,0,"1,452",0,0,0,409,0,19,"1,305",146,744,147,128,37,47,16,757,"1,194",26,3,0,0,1,0,0,0,0,0,0,0,104,8,58,332,0,29,105,1,0,0,58,34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,"109,586",0,"109,586"
Totals for South America,826,"10,720",168,"7,747","523,111","171,233",0,"36,929","6,506",1,"5,312","2,252",0,139,508,0,2,0,"15,995","1,173",0,469,"1,228",1,"3,040",311,0,"8,341",154,0,972,"3,358",138,147,"5,556","1,477","37,235","1,995","2,785",738,836,327,"4,030","5,447",240,7,0,0,3,0,0,0,0,0,8,0,649,155,256,"2,854",3,587,332,88,0,0,"1,008",467,0,0,0,0,44,0,3,8,2,0,0,0,0,0,1,1,0,"867,923",0,"867,923"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Nationality,0,0,0,61,"1,637",516,0,3,59,0,0,0,0,0,1,0,0,0,55,2,0,0,0,0,4,0,0,14,0,0,0,3,0,0,7,1,42,4,22,5,12,3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,10,0,0,0,0,54,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"2,534",0,"2,534"
United Nations Laissez-Passer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,187
Totals for Unknown,0,0,0,61,"1,637",516,0,3,59,0,0,0,0,0,1,0,0,0,55,2,0,0,0,0,191,0,0,14,0,0,0,3,0,0,7,1,42,4,22,5,12,3,3,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0,10,0,0,0,0,54,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"2,721",0,"2,721"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Totals,"10,159","81,144","1,017","56,432","3,053,656","305,645","660,482","54,994","214,942",21,"12,198","20,488",0,"8,015","29,453","1,918","1,053",0,"273,870","20,748",19,"4,894","11,946",284,"20,887",940,0,"135,421",440,8,"37,149","71,687","50,854","2,369","74,326","15,514","309,951","30,104","30,575","5,013","10,341","2,935","72,613","61,984","7,227",178,0,5,"5,911",0,333,88,176,2,11,0,"6,961","3,726","1,912","22,698",92,"9,949","1,007","1,541",80,3,"8,716","3,234",0,0,0,"2,972","2,779",0,11,43,5,1,0,0,0,0,166,133,281,"5,836,730",0,"5,836,730"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
