Fiscal Year 2002,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-2R,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,V-1,V-2,V-3,Total Visas,BCC,Grand Total,,,
Togo,16,24,6,3,"1,272",141,0,0,2,0,0,0,2,0,0,0,0,0,0,283,17,0,5,34,0,48,13,0,10,0,0,0,0,0,0,4,0,34,3,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,3,"1,955",0,"1,955",,,
Tunisia,17,185,3,119,770,457,0,0,7,43,0,0,19,0,1,0,0,0,0,69,3,0,14,64,0,47,2,0,20,0,0,0,2,0,0,18,2,152,32,13,0,4,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,3,0,"2,096",0,"2,096",,,
Uganda,15,102,3,13,"2,335",46,0,0,20,3,0,0,7,0,0,0,0,0,0,320,27,0,28,28,0,87,5,0,36,0,0,0,0,0,0,21,0,179,12,11,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,69,0,1,0,0,31,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,0,"3,422",0,"3,422",,,
Zambia,31,92,2,14,"1,806",23,0,0,32,6,0,0,0,0,0,0,0,0,0,282,95,0,27,134,0,96,5,0,12,0,0,0,2,0,0,14,10,392,16,8,1,1,0,5,8,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,"3,149",0,"3,149",,,
Zimbabwe,33,10,7,26,"2,722",57,0,0,56,68,0,2,20,0,0,2,0,0,0,641,134,0,24,90,0,152,10,0,90,0,0,1,5,0,0,75,5,238,54,8,0,0,0,23,35,2,0,0,0,0,0,0,0,0,0,2,1,3,0,1,20,0,7,0,11,0,0,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,"4,660",0,"4,660",,,
Totals for Africa,"1,920","7,388",374,"4,862","163,255","14,095",0,0,"1,201","3,396",0,243,659,0,2,50,0,0,0,"14,550","1,332",0,"1,163","3,128",9,"3,170",234,0,"2,930",0,2,"1,213",948,0,58,"2,294",396,"10,199","1,208","1,125",82,419,53,934,"1,196",166,8,0,0,1,0,0,0,0,0,2,1,126,11,54,440,1,476,28,113,0,0,762,264,0,0,0,0,45,0,0,0,0,0,0,0,0,0,678,"1,841",236,"249,341",0,"249,341",,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,32,86,0,11,458,208,0,0,5,0,0,0,0,0,0,0,0,0,0,21,0,0,9,20,5,29,0,0,5,0,0,0,0,0,0,1,0,17,0,138,8,18,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29,0,"1,121",0,"1,121",,,
Bahrain,11,185,0,1,722,8,0,0,0,5,0,0,2,0,0,0,0,0,0,115,24,0,4,42,0,4,1,0,11,0,0,0,0,0,0,1,0,37,13,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,193",0,"1,193",,,
Bangladesh,39,457,17,174,"5,344",722,0,0,12,164,0,0,2,0,0,9,0,0,0,324,62,0,93,75,0,193,23,0,440,0,0,0,0,0,0,358,9,107,65,4,1,29,2,24,46,0,3,0,0,0,0,0,0,0,0,0,0,5,3,3,0,0,19,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505,512,547,"10,407",0,"10,407",,,
Bhutan,0,6,0,3,145,19,0,0,0,0,0,2,0,0,0,0,0,0,0,51,1,0,20,27,4,18,3,0,2,0,0,0,0,0,0,4,0,28,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369,0,369,,,
Brunei,5,28,0,14,20,13,0,0,3,19,0,19,0,0,0,0,0,0,0,5,0,0,9,23,0,2,0,0,1,0,0,0,0,0,0,1,4,3,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,178,,,
