Fiscal Year 2011,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Africa,"1,967","10,293",269,"3,894","238,783","10,529",0,0,796,"5,163",9,572,"1,021",0,1,74,0,0,3,0,"16,586","1,386",0,"1,215","5,280",13,"4,413",150,0,"2,244",0,1,"1,026","1,279",97,"1,045",560,"8,764","1,023","2,020",185,79,17,"1,326","1,029",571,15,0,0,1,0,0,0,0,0,2,0,135,90,46,456,0,594,22,117,0,0,356,84,0,0,0,0,25,0,0,10,2,2,4,1,22,0,3,0,0,0,"325,670",0,"325,670"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,124,661,0,2,"1,444",17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,205,9,0,39,63,0,44,0,0,8,0,0,0,0,0,1,34,397,10,173,1,7,0,2,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"3,254",0,"3,254"
Bahrain,15,283,1,6,"2,468",329,0,0,1,7,0,2,0,0,0,0,0,0,0,0,195,12,0,0,26,0,0,0,0,4,0,0,0,0,0,4,5,110,10,1,0,0,0,3,1,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,534",0,"3,534"
Bangladesh,39,658,7,46,"7,563",30,0,0,12,400,0,0,1,0,1,1,0,0,2,0,971,165,0,86,148,0,292,6,0,163,0,0,0,0,0,111,44,278,79,13,0,1,1,21,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,6,2,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,"11,238",0,"11,238"
Bhutan,1,69,0,0,181,1,0,0,2,4,0,11,0,0,0,0,0,0,1,0,52,0,0,18,51,0,35,4,0,3,0,0,0,0,0,3,0,35,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,0,486
Brunei,10,182,0,0,26,1,0,0,0,10,0,28,0,0,0,1,0,0,0,0,16,2,0,9,32,0,15,11,0,2,0,0,0,0,0,1,5,18,2,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,0,375
Burma,34,10,1,346,405,"1,222",0,0,539,0,0,0,"3,168",0,0,0,0,0,0,0,545,7,0,36,42,0,88,4,0,40,0,0,0,0,3,15,0,87,8,93,4,1,0,12,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,0,0,0,0,12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,773",0,"6,773"
