Fiscal Year 2011,A-1,A-2,A-3,B-1,"B-1,2",B-2,"B-1,2/BCC","B-1,2/BCV",C-1,C-1/D,C-2,C-3,D,D-CREW,E-1,E-2,E-2C,E-3,E-3D,E-3R,F-1,F-2,F-3,G-1,G-2,G-3,G-4,G-5,H-1A,H-1B,H-1B1,H-1C,H-2A,H-2B,H-3,H-4,I,J-1,J-2,K-1,K-2,K-3,K-4,L-1,L-2,M-1,M-2,M-3,NATO-1,NATO-2,NATO-3,NATO-4,NATO-5,NATO-6,NATO-7,N-8,N-9,O-1,O-2,O-3,P-1,P-2,P-3,P-4,Q-1,Q-2,Q-3,R-1,R-2,S-5,S-6,S-7,TN,TD,T-1,T-2,T-3,T-4,T-5,U-1,U-2,U-3,U-4,U-5,V-1,V-2,V-3,Total Visas,BCC,Grand Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for Oceania,228,"5,399",10,298,"14,478",202,0,0,499,"3,116",0,"1,001",7,0,27,383,0,"2,546","1,414",733,"2,480",90,0,71,229,4,501,6,0,836,0,0,141,319,11,372,479,"7,009",411,326,17,2,0,"1,554","1,389",287,42,0,0,2,0,0,0,0,0,2,0,560,253,102,907,0,44,45,1,0,0,317,21,0,0,0,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,"49,181",0,"49,181"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,69,832,1,133,"182,191",181,0,0,93,843,1,462,0,0,31,96,0,0,0,0,"1,156",65,0,41,136,0,537,11,0,675,0,0,4,93,12,369,207,"3,989",195,91,10,0,0,495,635,31,2,0,0,0,0,0,0,0,0,0,0,155,57,56,319,0,116,81,0,0,0,40,16,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,"194,533",0,"194,533"
Bolivia,61,97,4,72,"11,193",33,0,0,169,69,0,67,0,0,2,8,0,0,0,0,393,14,0,33,54,0,258,10,0,108,0,0,0,5,0,39,26,367,16,42,10,4,1,35,42,8,3,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,6,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,"13,272",0,"13,272"
Brazil,194,"3,632",28,"2,462","743,634",245,0,0,570,"4,102",0,"5,091",110,0,13,30,0,0,1,0,"14,408",484,0,112,262,1,"1,161",48,0,"1,614",0,0,11,79,53,876,945,"13,429",826,497,84,11,8,"1,831","2,215",235,6,0,0,1,0,0,0,0,0,0,0,553,112,129,905,0,55,69,60,0,0,102,48,0,0,0,0,5,0,0,4,0,0,3,1,14,2,0,0,0,0,"801,371",0,"801,371"
Chile,37,"1,242",4,408,"59,985",681,0,0,97,"1,037",0,415,0,0,24,15,0,0,1,0,"1,548",302,0,46,99,1,288,10,0,199,247,0,22,66,22,313,108,"2,308",309,66,3,1,0,170,247,9,2,0,0,0,0,0,0,0,0,0,0,24,5,7,56,0,2,13,1,0,0,29,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"70,479",0,"70,479"
Colombia,101,"3,851",21,809,"211,321",347,0,0,559,"1,744",0,113,0,0,52,116,0,0,3,0,"4,839",224,0,60,32,0,690,44,0,934,0,0,0,0,20,494,148,"4,501",304,982,369,21,13,393,486,139,4,0,0,0,0,0,0,0,0,0,0,107,36,51,600,0,14,21,1,0,0,93,17,0,0,0,0,6,0,0,2,0,0,1,1,14,2,0,0,0,0,"234,700",0,"234,700"
Ecuador,71,769,5,149,"72,557",79,0,0,259,410,0,143,1,0,2,19,0,0,0,0,"1,087",46,0,22,73,0,220,25,0,197,0,0,3,10,1,106,101,"1,936",58,148,28,3,2,68,102,25,0,0,0,0,0,0,0,0,0,0,0,15,2,10,50,0,17,2,0,0,0,16,7,0,0,0,0,3,0,0,0,0,0,1,1,101,0,0,0,0,0,"78,950",0,"78,950"
Guyana,2,55,0,15,"4,967","1,156",0,0,260,694,0,14,0,0,0,0,0,0,0,0,86,4,0,3,0,0,59,0,0,26,0,0,0,0,0,15,1,21,4,70,15,2,0,2,9,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,"7,495",0,"7,495"
Paraguay,20,345,3,116,"6,140",10,0,0,64,19,0,279,0,0,0,0,0,0,0,0,225,5,0,31,103,0,73,10,0,33,0,0,0,0,0,18,9,293,12,19,2,0,0,6,12,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"7,862",0,"7,862"
Peru,103,695,15,"1,126","44,454","11,267",0,0,"1,735","2,961",0,121,1,0,2,6,0,0,0,0,"1,016",42,0,26,54,0,480,87,0,457,0,0,809,48,3,171,92,"3,873",82,364,86,10,4,109,123,62,0,0,0,0,0,0,0,0,0,0,0,18,1,8,100,0,134,2,1,0,0,58,14,0,0,0,0,2,0,0,2,0,0,0,1,25,0,0,0,0,0,"70,850",0,"70,850"
Suriname,30,89,0,0,"2,766",8,0,0,12,30,0,84,0,0,5,0,0,0,0,0,27,0,0,4,37,0,13,0,0,4,0,0,0,0,0,2,0,35,2,2,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,156",0,"3,156"
Uruguay,36,386,3,211,"12,755","2,891",0,0,7,196,0,31,0,0,0,5,0,0,0,0,147,19,0,15,60,0,162,5,0,77,0,0,38,0,1,30,9,196,24,8,0,0,0,35,40,1,0,0,0,0,0,0,0,0,0,0,0,18,0,6,15,0,1,4,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"17,443",0,"17,443"
Venezuela,121,187,3,"2,462","182,747",238,0,0,110,576,0,5,0,0,4,110,0,0,1,0,"4,896",294,0,63,76,0,193,6,0,910,0,0,0,0,17,815,137,603,58,71,15,3,2,850,"1,484",51,6,0,0,0,0,0,0,0,0,0,0,106,44,57,898,0,7,176,0,0,0,20,10,0,0,0,0,7,0,0,0,0,0,2,1,0,0,0,0,0,0,"198,442",0,"198,442"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Totals for South America,845,"12,180",87,"7,963","1,534,710","17,136",0,0,"3,935","12,681",1,"6,825",112,0,135,405,0,0,6,0,"29,828","1,499",0,456,986,2,"4,134",256,0,"5,234",247,0,887,301,129,"3,248","1,783","31,551","1,890","2,360",623,55,30,"3,994","5,396",572,23,0,0,1,0,0,0,0,0,0,0,"1,005",260,325,"2,953",0,352,368,63,0,0,371,130,0,0,0,0,24,0,0,9,0,0,8,6,169,4,0,0,0,0,"1,698,553",0,"1,698,553"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Nationality,0,1,0,10,"2,443",13,0,0,4,46,0,0,0,0,0,0,0,0,0,0,107,16,0,0,1,0,4,0,0,8,0,0,0,0,0,6,0,49,12,29,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,821",0,"2,821"
United Nations Laissez-Passer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,210
Totals for Unknown,0,1,0,10,"2,443",13,0,0,4,46,0,0,0,0,0,0,0,0,0,0,107,16,0,0,1,0,214,0,0,8,0,0,0,0,0,6,0,49,12,29,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24,0,0,0,0,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,031",0,"3,031"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grand Totals,"10,448","96,984","1,087","37,770","4,349,087","84,352","684,198","458,902","13,423","239,181",12,"13,757","10,411",0,"6,807","28,245",3,"2,546","1,663",733,"447,410","27,703",959,"4,903","14,239",262,"26,184",835,0,"129,134",418,7,"55,384","50,826","2,108","74,205","14,177","324,294","35,090","24,585","3,575",668,188,"70,728","76,949","10,049",383,1,16,"6,499",1,253,92,536,1,5,0,"8,828","4,863","2,052","24,687",110,"7,417",987,"1,492",0,0,"3,717","1,212",2,0,0,"4,971","3,548",0,127,258,10,14,132,61,"1,071",32,72,0,0,0,"7,507,939",0,"7,507,939"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
